canonical_name,suggested_variants,dedupe_status,db_status,db_slug
Hacienda el bosque,Hacienda el bosque,unique,not_found_by_exact_name,
Paintball,Paintball,unique,not_found_by_exact_name,
Saipan airsoft,Saipan airsoft,unique,not_found_by_exact_name,
Greens bolos,Greens bolos,unique,not_found_by_exact_name,
Once once,Once once,unique,not_found_by_exact_name,
Lengua de mariposa,Lengua de mariposa,unique,not_found_by_exact_name,
La topa tolondra,La topa tolondra,unique,not_found_by_exact_name,
Antaño cerveza,Antaño cerveza,unique,not_found_by_exact_name,
Space jump,Space jump,unique,not_found_by_exact_name,
Patolandia,Patolandia,unique,not_found_by_exact_name,
Tom glen,Tom glen,unique,not_found_by_exact_name,
Penélope martini,Penélope martini,unique,not_found_by_exact_name,
Zur,Zur,unique,not_found_by_exact_name,
Pampa malbec,Pampa malbec,unique,not_found_by_exact_name,
Sushi Green,Sushi green,unique,exists,sushi-green
La romanezca,La romanezca,unique,not_found_by_exact_name,
Bendito cafe candle bar,Bendito cafe candle bar,unique,not_found_by_exact_name,
Huna Huna Social Club,Huna huna,unique,not_found_by_exact_name,
Miyamoto,Miyamoto,unique,not_found_by_exact_name,
Crepes & waffles,Crepes & waffles,unique,not_found_by_exact_name,
Yonkers,Yonkers,unique,not_found_by_exact_name,
Winkle waffles,Winkle waffles,unique,not_found_by_exact_name,
Cima del viento dapa,Cima del viento dapa,unique,not_found_by_exact_name,
Sabor gourmet,Sabor gourmet,unique,not_found_by_exact_name,
Karen’s pizza,Karen’s pizza,unique,not_found_by_exact_name,
Cantina la 15,Cantina la 15,unique,not_found_by_exact_name,
Mister wings,Mister wings,unique,not_found_by_exact_name,
Alma restaurante,Alma restaurante,unique,not_found_by_exact_name,
Fuku ramen bar,Fuku ramen bar,unique,not_found_by_exact_name,
Montallegro heladeria,Montallegro heladeria,unique,not_found_by_exact_name,
Kora vibes,Kora vibes,unique,not_found_by_exact_name,
Busca por dentro san antonio,Busca por dentro san antonio,unique,not_found_by_exact_name,
El Colibri,El colibri | Colibri,merged,not_found_by_exact_name,
Dónde León,Dónde León,unique,not_found_by_exact_name,
Tierradentro,Tierradentro,unique,not_found_by_exact_name,
Casa D Cali,Casa D Cali,unique,not_found_by_exact_name,
Namaste granada,Namaste granada,unique,not_found_by_exact_name,
La libélula hotel,La libélula hotel,unique,not_found_by_exact_name,
Espacio 10-60,Espacio 10-60,unique,not_found_by_exact_name,
Bengala & Bandolero,Bengala bandolero | Bengala y bandolero,merged,not_found_by_exact_name,
Sonido central,Sonido central,unique,not_found_by_exact_name,
Dose sky lounge,Dose sky lounge,unique,not_found_by_exact_name,
Caruzo,Caruzo,unique,not_found_by_exact_name,
Cabo leones granada,Cabo leones granada,unique,not_found_by_exact_name,
Intrepid,Intrepid,unique,not_found_by_exact_name,
La azotea,La azotea,unique,not_found_by_exact_name,
Vinyl bar,Vinyl bar,unique,not_found_by_exact_name,
Discopico,Discopico,unique,not_found_by_exact_name,
La boheme,La boheme,unique,not_found_by_exact_name,
Furtivo,Furtivo,unique,not_found_by_exact_name,
Mi sol ardiente drinks,Mi sol ardiente drinks,unique,not_found_by_exact_name,
Plaza 360 (mall),Plaza 360 (mall),unique,not_found_by_exact_name,
Ecoparque biodiversidad,Ecoparque biodiversidad,unique,not_found_by_exact_name,
Palo Mulata,Palo mulata,unique,exists,palo-mulata
Sonoma,Sonoma,unique,not_found_by_exact_name,
Gente Comun,Gente comun | Gente común san antonio,merged,not_found_by_exact_name,
Zuly arepas,Zuly arepas,unique,not_found_by_exact_name,
Combo (hamburguesas),Combo (hamburguesas),unique,not_found_by_exact_name,
Ostinato,Ostinato,unique,not_found_by_exact_name,
Sattvica,Sattvica,unique,not_found_by_exact_name,
Platillos voladores,Platillos voladores,unique,not_found_by_exact_name,
Ramiro’s,Ramiro’s,unique,not_found_by_exact_name,
La querencia,La querencia,unique,not_found_by_exact_name,
La fugitiva,La fugitiva,unique,not_found_by_exact_name,
Papi,Papi,unique,not_found_by_exact_name,
Patti,Patti,unique,not_found_by_exact_name,
Simon’s,Simon’s,unique,not_found_by_exact_name,
Maranello parque del perro,Maranello parque del perro,unique,not_found_by_exact_name,
Chelita go mex,Chelita go mex,unique,not_found_by_exact_name,
Brunch duquesa,Brunch duquesa,unique,not_found_by_exact_name,
Zorro azul,Zorro azul,unique,not_found_by_exact_name,
La buena vida marbella,La buena vida marbella,unique,not_found_by_exact_name,
Mantra rooftop,Mantra rooftop,unique,not_found_by_exact_name,
Dolka,Dolka,unique,not_found_by_exact_name,
Odiseo,Odiseo,unique,not_found_by_exact_name,
Storia damore,Storia damore,unique,not_found_by_exact_name,
Amasijo brunch,Amasijo brunch,unique,not_found_by_exact_name,
Joe’s,Joe’s,unique,not_found_by_exact_name,
Nuevo León,Nuevo León,unique,not_found_by_exact_name,
La chocolatada 24 ciudad jardin,La chocolatada 24 ciudad jardin,unique,not_found_by_exact_name,
Café quindio,Café quindio,unique,not_found_by_exact_name,
Pizza della madonna,Pizza della madonna,unique,not_found_by_exact_name,
Pradera de minca,Pradera de minca,unique,not_found_by_exact_name,
Casa latte,Casa latte,unique,not_found_by_exact_name,
Fit bar,Fit bar,unique,not_found_by_exact_name,
Floret,Floret,unique,not_found_by_exact_name,
Carpanetto,Carpanetto,unique,not_found_by_exact_name,
Guadalupe café dapa,Guadalupe café dapa,unique,not_found_by_exact_name,
Terraza san camilo,Terraza san camilo,unique,not_found_by_exact_name,
Café san camilo,Café san camilo,unique,not_found_by_exact_name,
