spot_slug,slug,neighborhood,mall,hours,address,min_budget,max_people,menu_url,whatsapp,phone,instagram,latitude,longitude,is_active,sort_order
hacienda-del-bosque,hacienda-del-bosque-oeste,Oeste,,Mar-Mie 12:00-15:00 / 19:00-23:00 · Jue 12:00-16:00 / 19:00-23:00 · Vie-Sab 12:00-16:00 / 19:00-00:00 · Dom 12:00-17:00 · Lun Cerrado,"Carrera 2 Oeste #14-250, Cali",70000,8,https://www.haciendadelbosque.com.co/,,3187117755,, , ,true,10
once-once,once-once-canasgordas,Pance,,Lun-Mar 12:00-22:00 · Mie 12:00-23:00 · Jue 12:00-00:00 · Vie-Sab 12:00-03:00 · Dom 12:00-22:00,"Av Cañas Gordas Calle 18 #180-770, Cali",50000,8,http://1111.com.co/,,3017565611,https://instagram.com/onceonce.cali,,,true,10
once-once,once-once-granada,Santa Monica Residencial,,Lun 14:00-22:00 · Mar 17:00-03:00 · Mie-Jue 14:00-00:00 · Vie-Sab 14:00-02:00 · Dom 14:00-22:00,"Av. 9 Nte. #15AN-41 Segundo piso, Santa Monica Residencial, Cali",50000,8,http://1111.com.co/,,3017565611,https://instagram.com/onceonce.cali,,,true,20
lengua-de-mariposa,lengua-de-mariposa-san-antonio,San Antonio,,Lun-Mie 13:00-21:00 · Jue-Vie 13:00-22:00 · Sab-Dom 13:00-21:00,"Calle 6 #1-19, Barrio San Antonio, Cali",18000,4,https://www.tripadvisor.com/Restaurant_Review-g297475-d6878315-Reviews-Lengua_de_Mariposa-Cali_Valle_del_Cauca_Department.html,,3789301,, , ,true,10
lengua-de-mariposa,lengua-de-mariposa-ciudad-jardin,Ciudad Jardin,,Lun-Mie 13:00-21:00 · Jue-Vie 13:00-22:00 · Sab 13:00-21:00 · Dom Cerrado,"Carrera 105 #15-09, Cali",18000,4,,,4044626,, , ,true,20
tom-glen,tom-glen-limonar,El Limonar,,Lun-Jue 11:30-22:30 · Vie 11:30-23:30 · Sab 11:30-19:30 · Dom 11:30-22:30,"Calle 9 #62C-23, Cali",25000,6,https://www.rappi.com.co/restaurantes/900250325-tom-glen,,,"",, ,true,10
tom-glen,tom-glen-la-flora,La Flora,,Lun 11:30-22:00 · Mar 12:00-22:00 · Mie 11:30-22:00 · Jue 11:30-19:00 · Vie-Sab 11:30-23:00 · Dom 11:30-22:00,"Cl 52 N 5 N 27, Barrio La Flora, Cali",25000,6,https://www.rappi.com.co/restaurantes/900048270-tom-glen,,,"",, ,true,20
penelope-martini,penelope-martini-el-penon,El Peñon,,Mar-Jue 17:00-00:00 · Vie 16:30-02:00 · Sab 17:00-02:00 · Dom-Lun Cerrado,"Carrera 2 Oeste #1-71, El Peñon, Cali",40000,6,http://www.penelopemartini.com,,3233910092,, , ,true,10
penelope-martini,penelope-martini-pance,Pance,,Mar-Mie 17:00-23:00 · Jue 17:00-23:45 · Vie-Sab 17:00-23:59,"Penelope Martini Pance, Calle 16A, Barrio Pance, Cali",40000,6,http://www.penelopemartini.com,,,, , ,true,20
pampa-malbec,pampa-malbec-las-velas,Ciudad Jardin,Las Velas,Mar-Mie 12:00-22:00 · Jue-Vie 12:00-23:00 · Sab 12:00-22:00 · Dom 12:00-22:00,"Avenida San Joaquín Cra 105 No. 15B-45, Cali",70000,6,http://www.pampamalbec.com,,3323081,, , ,true,10
