spot_slug,slug,neighborhood,mall,hours,address,min_budget,max_people,menu_url,whatsapp,phone,instagram,latitude,longitude,is_active,sort_order
platillos-voladores,platillos-voladores-centenario,Centenario,,Lun-Jue 12:00-15:00 / 19:00-22:00 · Vie-Sab 12:00-15:00 / 19:00-23:00,"Av. 3 N # 7-19, Cali",80000,4,https://platillosvoladores.com/pages/la-carta,,3176393003,,3.45367,-76.53723,true,10
cafe-quindio,cafe-quindio-unicentro,Ciudad Jardin,Unicentro Cali,Lun-Jue 08:00-20:00 · Vie-Sab 08:00-21:00 · Dom 09:00-20:00,"Cra. 100 #5-169, C.C. Unicentro Cali, Local EC-96, 1er Piso, Cali",12000,4,https://www.cafequindio.com.co/,,,,,,true,10
cafe-quindio,cafe-quindio-cenco-limonar,Limonar,Cenco Limonar,Lun-Jue 08:00-20:00 · Vie-Sab 08:00-21:00 · Dom-Fest 08:00-20:00,"C.C. Cenco Limonar, Calle 5 #69-03, Local 1-27, Cali",12000,4,https://www.cafequindio.com.co/,,,,,,true,20
cafe-quindio,cafe-quindio-chipichape,Chipichape,Chipichape,Lun-Jue 08:00-20:00 · Vie-Sab 08:00-21:00 · Dom-Fest 08:00-20:00,"C.C. Chipichape, Calle 38N #6N-45, Isla 813, Cali",12000,4,https://www.cafequindio.com.co/,,,,,,true,30
cafe-quindio,cafe-quindio-canaveral-pance,Pance,Cañaveral Pance,Lun-Jue 08:00-20:00 · Vie-Sab 08:00-21:00 · Dom-Fest 08:00-20:00,"Calle 16E #121E-334, Pance, Cali",12000,4,https://www.cafequindio.com.co/,,,,,,true,40
cafe-quindio,cafe-quindio-granada,Granada,,Lun-Dom 08:00-20:00,"Calle 17 Norte #8-78, Edificio Constantino, Cali",12000,4,https://www.cafequindio.com.co/,,,,,,true,50
cafe-quindio,cafe-quindio-jardin-plaza,Ciudad Jardin,Jardín Plaza,Lun-Dom 08:00-20:00,"Centro Comercial Jardín Plaza, Carrera 98 #16-200, Cali",12000,4,https://www.cafequindio.com.co/,,,,,,true,60
la-topa-tolondra,la-topa-tolondra-centro,Centro,,Lun 19:00-02:00 · Mar 19:00-01:00 · Mie-Sab 19:00-03:00 · Dom Cerrado,"Cl. 5 #13-27, Cali",20000,8,,https://wa.me/573235972646,3235972646,https://instagram.com/latopatolondraoficial,,,true,10
la-fugitiva,la-fugitiva-granada,Granada,,Lun-Vie 16:00-23:00 · Sab-Dom 12:00-15:00 / 17:00-23:00,"Avenida 8 Norte #14-81, Granada, Cali",40000,6,https://lafugitiva.co/,,3164466385,, , ,true,10
greens-bolos-club,greens-bolos-club-acopi,Acopi,,Mar-Jue 16:00-22:00 · Vie-Sab 16:00-00:00 · Dom-Fest 14:00-22:00 · Lun Cerrado,"Autopista Cali - Yumbo Km2, Calle 15 #35-20, Acopi, Cali",25000,8,,https://wa.me/573152890577,3152890577,, , ,true,10
