canonical_name,suggested_variants,resolved_name,db_status,web_status,category,upload_status,reason
Hacienda el bosque,Hacienda el bosque,Hacienda El Bosque,not_found_by_exact_name,confirmed_active,Familiar,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Paintball,Paintball,Paintball Cali Norte,not_found_by_exact_name,confirmed_active,Deporte y bienestar,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Saipan airsoft,Saipan airsoft,Saipan Airsoft,not_found_by_exact_name,confirmed_active,Deporte y bienestar,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Greens bolos,Greens bolos,Greens Bolos Club,not_found_by_exact_name,confirmed_active,Familiar,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Once once,Once once,Once Once Restaurante Bar,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Lengua de mariposa,Lengua de mariposa,Lengua de Mariposa,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
La topa tolondra,La topa tolondra,La Topa Tolondra Nightclub,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Antaño cerveza,Antaño cerveza,Antaño Cervecería Artesanal,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Space jump,Space jump,Space Jump,not_found_by_exact_name,confirmed_active,Familiar,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Patolandia,Patolandia,Patolandia,not_found_by_exact_name,confirmed_active,Familiar,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Tom glen,Tom glen,Tom Glen,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Penélope martini,Penélope martini,Penelope Martini,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Zur,Zur,ZUR Cocina de Autor,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
