canonical_name,suggested_variants,resolved_name,db_status,web_status,category,upload_status,reason
Sabor gourmet,Sabor gourmet,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Namaste granada,Namaste granada,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Vinyl bar,Vinyl bar,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Mi sol ardiente drinks,Mi sol ardiente drinks,Mi Sol Ardiente Drinks,not_found_by_exact_name,likely_active,Vida nocturna,pending_research,Ubicado dentro de Plaza 360; falta ficha operativa confiable del lugar para subirlo sin inventar datos.
Plaza 360 (mall),Plaza 360 (mall),Plaza 360,not_applicable,mall_only,,excluded_non_place,Es un mall o hub y no debe tratarse como lugar independiente en spots.
Combo (hamburguesas),Combo (hamburguesas),,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Simon’s,Simon’s,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Chelita go mex,Chelita go mex,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Brunch duquesa,Brunch duquesa,Brunch Duquesa,not_found_by_exact_name,confirmed_active,Restaurantes,active_but_not_uploaded,"Existe y opera, pero aun faltan sedes o campos clave para carga segura."
Dolka,Dolka,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Joe’s,Joe’s,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Pradera de minca,Pradera de minca,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Casa latte,Casa latte,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Fit bar,Fit bar,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Carpanetto,Carpanetto,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
