branch_id,spot_id,slug,neighborhood,mall,hours,address,min_budget,max_people,menu_url,whatsapp,instagram,latitude,longitude,is_active,sort_order
6,3,casa-banana-granada,Granada,,Lun-Dom 09:00:00-20:00:00 · Festivos 09:00:00-20:00:00,+s.replace(/"/g,)+,18000,6,,,,3.4604,-76.5351,true,0
5,3,casa-banana-puerto-125,Pance,Puerto 125,Lun-Dom 09:00:00-20:00:00,+s.replace(/"/g,)+,18000,6,,,,3.3379,-76.5432,true,1
10,6,la-corteza,Peñón,,Lun-Sab 08:00:00-20:00:00 · Dom 08:00:00-19:00:00 · Festivos 08:00:00-19:00:00,+s.replace(/"/g,)+,40000,6,https://menupp.co/lacorteza,https://api.whatsapp.com/send?phone=573173278616,https://www.instagram.com/lacortezabakery/,3.4597912,-76.5350992,true,0
16,10,izumi-granada,Granada,,Lun-Mie 12:00-22:00 · Jue-Sab 12:00-00:00 · Dom 12:00-22:00,+s.replace(/"/g,)+,50000,4,https://menupp.co/izumi/group/A2X0R5a1NcAuYjfehCYW?fbclid=PAZXh0bgNhZW0CMTEAAadsN9Uuzqeu_IQsbWFrlR8gYlw6IiOSx_Ungdji6FkhdrYYqHFv4p4YUoM4vw_aem_XHfZkc0mpEA6UKirdNknGQ,https://wa.me/573012019527,https://www.instagram.com/izumirestaurantco/,,,true,0
17,11,loco-por-ti-el-penon,El Peñon,,,+s.replace(/"/g,)+,0,1,,,,,,true,0
18,12,mantra-coffee-club-granada,Granada,,Lun-Dom 09:00-19:30,+s.replace(/"/g,)+,19900,1,,,,,,true,0
19,13,luci-bakery-ciudad-jardin,Ciudad Jardin,Solaz Plaza,Mar-Mie 07:30-19:30 · Jue 07:30-20:30 · Vie 07:30-21:30 · Sab 08:00-21:30 · Dom 08:00-15:30,+s.replace(/"/g,)+,0,1,https://www.lucibakery.com/,https://wa.me/573044226603,https://www.instagram.com/lucibakery.co/,,,true,0
20,14,casa-cantera-granada,Granada,,Dom 09:00-19:00 · Lun Cerrado · Mar-Vie 15:00-23:00 · Sab 09:00-23:00,+s.replace(/"/g,)+,40000,1,,https://wa.me/573188246981,https://www.instagram.com/casa.cantera/,,,true,0
21,15,cafe-gardenia-santa-monica,Santa Monica Residencial,,Lun-Sab 08:00-20:00 · Dom 08:00-19:00,+s.replace(/"/g,)+,10000,1,,https://wa.me/573107794126,https://www.instagram.com/cafegardenia.cali/,,,true,0
22,16,lakasia-el-penon,El Peñon,,Lun-Mie 12:00-15:00 / 18:00-22:00 · Jue 12:00-15:00 / 18:00-22:00 · Vie 12:00-15:00 / 18:00-23:00 · Sab 12:00-23:00 · Dom 12:00-21:00,+s.replace(/"/g,)+,0,1,https://menupp.co/,https://wa.me/573160179277,https://www.instagram.com/lakasiakoreanhouse/,,,true,0
