spot_slug,slug,neighborhood,mall,hours,address,min_budget,max_people,menu_url,whatsapp,phone,instagram,latitude,longitude,is_active,sort_order
museo-la-tertulia,museo-la-tertulia-el-penon,El Peñon,,Mar-Sab 10:00-19:00 · Dom 14:00-18:00,"Oeste, Cra. 1 #5-105, Cali, Valle del Cauca, Colombia",0,4,https://www.museolatertulia.com/,,,https://instagram.com/museolatertulia/,3.4502809,-76.5453033,true,10
museo-caliwood,museo-caliwood-arboleda,Arboleda,,Lun-Vie 08:00-12:00 / 14:00-18:00 · Sab 15:00-18:00 · Dom 10:00-17:00,"Avenida Belalcazar (Carrera 2 oeste) #5-A-55 oeste, Cali, Valle del Cauca, Colombia",20000,4,https://www.caliwood.com.co,https://wa.me/573104732282,,https://instagram.com/museocaliwood/,3.4519164,-76.5479736,true,10
zoologico-de-cali,zoologico-de-cali-oeste,Oeste,,Lun-Dom 09:00-16:30,"Carrera 2A Oeste, Bosque Municipal, Cali",27500,6,https://www.zoologicodecali.com.co/visita,,,https://instagram.com/zoologicodecali/,3.4476560,-76.5569281,true,10
jardin-botanico-de-cali,jardin-botanico-de-cali-santa-teresita,Arboleda,,Recorridos y visitas con horario variable,"Carrera 2A Oeste, Arboleda, Cali",15000,6,https://www.jardinbotanicodecali.com.co/,https://wa.me/573189420388,,,3.4482177,-76.5447782,true,10
cerro-de-las-tres-cruces,cerro-de-las-tres-cruces-oeste,Oeste,,Plan temprano; acceso controlado segun operacion,"Ingreso por el sector de Chipichape, Cali",0,6,,,,, , ,true,10
cristo-rey,cristo-rey-los-cristales,Los Cristales,,Turnos 09:00 / 12:00 / 15:00 con registro,"Cerro Los Cristales, Cali",0,6,,,,,3.4355430,-76.5647279,true,10
callao,callao-centro,Centro,Hotel Aristi,,"Cra. 9 #10-04, COMUNA 3, Cali, Valle del Cauca, Colombia",0,8,,,,,3.4477222,-76.5335305,true,10
la-pergola-clandestina,la-pergola-clandestina-centro,Centro,,Mar-Mie 16:00-01:00 · Jue-Sab 16:00-03:00 · Dom 14:00-01:00,"Cra. 1 #13 - 42, San Pedro, Cali, Valle del Cauca, Colombia",100000,8,https://lapergola.co/,https://wa.me/573245962005,,https://instagram.com/lapergolaclandestina/,3.4530013,-76.5342106,true,10
cuuc,cuuc-marbella-plaza,Pance,Marbella Plaza,Lun-Jue 14:00-22:00 · Vie-Sab 15:00-23:00 · Dom 14:00-22:00,"Calle 16A #122-31, Marbella Plaza, Pance-Cali",19000,6,,, ,https://instagram.com/cuuc_deli/,3.3393620,-76.5355632,true,10
dos-santos-cantina,dos-santos-cantina-marbella-plaza,Pance,Marbella Plaza,,"Cl. 16A #122-31, Marbella Plaza, Pance, Cali",35000,6,,,,,3.3393620,-76.5355632,true,10
cafe-gardenia,cafe-gardenia-granada,Granada,,Lun-Sab 08:00-20:00 · Dom-Fest 08:00-19:00,"Calle 20N#8N-40, Santa Monica Residential, Cali, Valle del Cauca, Colombia",20000,4,https://menupp.co/cafegardenia/venue/drS8Lo1fStnmA19QdNuF/menu/d7d2da4a-c0f3-46ce-9947-abf122da2de6,https://api.whatsapp.com/send/?phone=573107794126&text=%C2%A1Hola%21%20Quisiera%20hacer%20una%20reserva%20para%3A%0AFecha%3A%0AHora%3A%20%20%0AGracias%20%E2%98%BA%EF%B8%8F%E2%9C%A8,,https://instagram.com/cafegardenia.cali/,3.4623639,-76.5323658,true,10
cafe-gardenia,cafe-gardenia-rio,El Peñon,Bulevar del Río,Lun-Mie 08:00-20:00 · Jue-Sab 08:00-21:00 · Dom 08:00-20:00,"Casa Obeso Mejía - Plazoleta Torrelavega, Av. 4 Oe. #4 -59, Normandia Sebastian de Belalcazar, Cali, Valle del Cauca, Colombia",20000,4,https://menupp.co/cafegardenia/venue/drS8Lo1fStnmA19QdNuF/menu/f6fc58ed-61b0-4dee-8008-671c367ea3f3,https://api.whatsapp.com/send?phone=573004434075&text=Hola!%20Quiero%20hacer%20un%20reserva%20en%20Caf%C3%A9%20Gardenia%20R%C3%ADo,,https://instagram.com/cafegardenia.cali/,3.451047,-76.5454095,true,20
hoi-an-cocina-vietnamita,hoi-an-cocina-vietnamita-marbella-plaza,Pance,Marbella Plaza,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-21:00,"Calle 16A #122-31, Marbella Plaza, Local 8, Pance, Cali",35000,6,https://www.hoianrestaurante.com/carta.html,https://wa.me/573174329563,,,3.3393620,-76.5355632,true,10
purist-cafe,purist-cafe-marbella-plaza,Pance,Marbella Plaza,Lun-Dom 14:00-20:30,"Calle 16A #122-31, Marbella Plaza, Pance, Cali",12000,4,https://puristcafe.co/blogs/blog/donde-tomar-un-cafe-en-cali,https://wa.me/573108272156,,https://instagram.com/puristcafe/,3.3393620,-76.5355632,true,10
valle-catalina,valle-catalina-marbella-plaza,Pance,Marbella Plaza,Lun-Mie 12:00-22:00 · Jue 12:00-22:30 · Vie-Sab 12:00-23:00,"Calle 16A #122-31, Marbella Plaza, Pance-Cali",45000,6,https://bit.ly/vallecatalinarestaurante,https://wa.link/hp63j2,,,3.3393620,-76.5355632,true,10
el-cafe-del-sol,el-cafe-del-sol-lago-verde,Pance,Lago Verde,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"Cl. 16A #122-70, Lago Verde, Pance, Cali",40000,6,,,,,3.3452491,-76.5344544,true,10
taqueria-chalacas,taqueria-chalacas-puerto-125,Pance,Puerto 125,Dom-Mie 12:00-21:30 · Jue 12:00-22:00 · Vie-Sab 12:00-00:00,"Calle 16A #124-285, Pance, Puerto 125, Cali",22000,4,https://app.menupp.co/restaurant/chacalacas,https://api.whatsapp.com/send/?phone=573155974543&text&type=phone_number&app_absent=0,,https://instagram.com/chacalacasco,3.3382619,-76.5351225,true,10
